Time (s)   roll (deg)   Delta
0.00037	4.54862	11.27051
0.00459	4.54862	11.27051
0.00878	4.54862	11.27051
0.01299	4.54862	11.27051
0.01718	4.54862	11.27051
0.02149	4.52664	11.27051
0.02574	4.54862	11.27051
0.02999	4.52664	11.27051
0.03418	4.52664	11.27051
0.03836	4.52664	11.27051
0.04254	4.52664	11.27051
0.04674	4.52664	11.27051
0.05092	4.52664	11.27051
0.05521	4.50467	11.27051
0.05943	4.50467	11.27051
0.06365	4.50467	11.27051
0.06784	4.50467	11.27051
0.07201	4.50467	11.27051
0.07618	4.48270	11.27051
0.08035	4.46073	11.27051
0.08475	4.46073	11.27051
0.08893	4.46073	11.27051
0.09310	4.46073	11.27051
0.09728	4.43875	11.27051
0.10155	4.41678	11.27051
0.10573	4.39481	11.27051
0.11006	4.39481	11.27051
0.11444	4.37284	11.27051
0.11874	4.37284	11.27051
0.12297	4.35086	11.27051
0.12721	4.32889	11.27051
0.13155	4.30692	11.27051
0.13583	4.28494	11.27051
0.14005	4.28494	11.27051
0.14433	4.21903	11.27051
0.14872	4.21903	11.27051
0.15311	4.19705	11.27051
0.15736	4.17508	11.27051
0.16201	4.13114	11.27051
0.16649	4.08719	11.27051
0.17084	4.06522	11.27051
0.17520	4.02127	11.27051
0.17959	4.02127	11.27051
0.18386	3.97733	11.27051
0.18810	3.93338	11.27051
0.19341	3.88944	11.27051
0.19912	3.80155	11.27051
0.20355	3.80155	11.27051
0.20796	3.75760	11.27051
0.21231	3.71366	11.27051
0.21667	3.64774	11.27051
0.22091	3.58182	11.27051
0.22507	3.58182	11.27051
0.22952	3.49393	11.27051
0.23383	3.49393	11.27051
0.23808	3.42801	11.27051
0.24311	3.36209	11.27051
0.24857	3.29618	11.27051
0.25315	3.23026	11.27051
0.25751	3.16434	11.27051
0.26188	3.09842	11.27051
0.26621	3.03250	11.27051
0.27048	2.94461	11.27051
0.27573	2.87869	11.27051
0.28033	2.81278	11.27051
0.28535	2.72489	11.27051
0.28968	2.72489	11.27051
0.29407	2.63700	11.27051
0.29889	2.57108	11.27051
0.30313	2.48319	11.27051
0.30729	2.39530	11.27051
0.31161	2.30741	11.27051
0.31598	2.24149	11.27051
0.32020	2.24149	11.27051
0.32535	2.04373	11.27051
0.32983	2.04373	11.27051
0.33424	1.95584	11.27051
0.33866	1.84598	11.27051
0.34294	1.75809	11.27051
0.34739	1.64823	11.27051
0.35162	1.56034	11.27051
0.35587	1.47244	11.27051
0.36055	1.36258	11.27051
0.36574	1.25272	11.27051
0.37006	1.25272	11.27051
0.37438	1.14286	11.27051
0.37867	1.03299	11.27051
0.38294	0.92313	11.27051
0.38714	0.81327	11.27051
0.39222	0.70340	11.27051
0.39685	0.59354	11.27051
0.40120	0.48368	11.27051
0.40556	0.37381	11.27051
0.40981	0.37381	11.27051
0.41407	0.24198	11.27051
0.41835	0.13211	11.27051
0.42372	0.00028	11.27051
0.42838	-0.13156	11.27051
0.43271	-0.24142	11.27051
0.43708	-0.37326	11.27051
0.44133	-0.48312	11.27051
0.44593	-0.61496	11.27051
0.45018	-0.61496	11.27051
0.45522	-0.87863	11.27051
0.45955	-0.87863	11.27051
0.46397	-1.01047	11.27051
0.46823	-1.14230	11.27051
0.47262	-1.27414	11.27051
0.47686	-1.42795	11.27051
0.48504	-1.66964	11.27051
0.48944	-1.66964	11.27051
0.49381	-1.82345	11.27051
0.49809	-1.97726	11.27051
0.50228	-2.10910	11.27051
0.50645	-2.26291	11.27051
0.51064	-2.26291	11.27051
0.51752	-2.54855	11.27051
0.52187	-2.72433	11.27051
0.52632	-2.85617	11.27051
0.53069	-2.85617	11.27051
0.53493	-3.00998	11.27051
